('OGeneral', 'Window', 'Inverter AC', '1 ton', 21000, 'AGL48P')
('OGeneral', 'Window', 'Inverter AC', '1 ton', 32000, 'AGL49P')
('OGeneral', 'Window', 'Inverter AC', '1 ton', 42000, 'AGL50P')
('OGeneral', 'Window', 'Inverter AC', '1 ton', 53000, 'AGL51P')
('OGeneral', 'Window', 'Inverter AC', '1 ton', 61000, 'AGL52P')
('OGeneral', 'Window', 'Inverter AC', '1.5 ton', 24000, 'AGL48Q')
('OGeneral', 'Window', 'Inverter AC', '1.5 ton', 34000, 'AGL49Q')
('OGeneral', 'Window', 'Inverter AC', '1.5 ton', 44000, 'AGL50Q')
('OGeneral', 'Window', 'Inverter AC', '1.5 ton', 55000, 'AGL51Q')
('OGeneral', 'Window', 'Inverter AC', '1.5 ton', 60000, 'AGL52Q')
('OGeneral', 'Window', 'Inverter AC', '2 ton', 27000, 'AGL48R')
('OGeneral', 'Window', 'Inverter AC', '2 ton', 36000, 'AGL49R')
('OGeneral', 'Window', 'Inverter AC', '2 ton', 45000, 'AGL50R')
('OGeneral', 'Window', 'Inverter AC', '2 ton', 57000, 'AGL51R')
('OGeneral', 'Window', 'Inverter AC', '2 ton', 63000, 'AGL52R')
('OGeneral', 'Window', 'Inverter AC', '3 ton', 28000, 'AGL48S')
('OGeneral', 'Window', 'Inverter AC', '3 ton', 37000, 'AGL49S')
('OGeneral', 'Window', 'Inverter AC', '3 ton', 46000, 'AGL50S')
('OGeneral', 'Window', 'Inverter AC', '3 ton', 58000, 'AGL51S')
('OGeneral', 'Window', 'Inverter AC', '3 ton', 69000, 'AGL52S')
('OGeneral', 'Window', 'Non Inverter AC', '1 ton', 20000, 'AGM48P')
('OGeneral', 'Window', 'Non Inverter AC', '1 ton', 31000, 'AGM49P')
('OGeneral', 'Window', 'Non Inverter AC', '1 ton', 41000, 'AGM50P')
('OGeneral', 'Window', 'Non Inverter AC', '1 ton', 50000, 'AGM51P')
('OGeneral', 'Window', 'Non Inverter AC', '1 ton', 60000, 'AGM52P')
('OGeneral', 'Window', 'Non Inverter AC', '1.5 ton', 22000, 'AGM48Q')
('OGeneral', 'Window', 'Non Inverter AC', '1.5 ton', 31000, 'AGM49Q')
('OGeneral', 'Window', 'Non Inverter AC', '1.5 ton', 40000, 'AGM50Q')
('OGeneral', 'Window', 'Non Inverter AC', '1.5 ton', 51000, 'AGM51Q')
('OGeneral', 'Window', 'Non Inverter AC', '1.5 ton', 62000, 'AGM52Q')
('OGeneral', 'Window', 'Non Inverter AC', '2 ton', 26000, 'AGM48R')
('OGeneral', 'Window', 'Non Inverter AC', '2 ton', 34000, 'AGM49R')
('OGeneral', 'Window', 'Non Inverter AC', '2 ton', 43000, 'AGM50R')
('OGeneral', 'Window', 'Non Inverter AC', '2 ton', 55000, 'AGM51R')
('OGeneral', 'Window', 'Non Inverter AC', '2 ton', 64000, 'AGM52R')
('OGeneral', 'Window', 'Non Inverter AC', '3 ton', 29000, 'AGM48S')
('OGeneral', 'Window', 'Non Inverter AC', '3 ton', 37000, 'AGM49S')
('OGeneral', 'Window', 'Non Inverter AC', '3 ton', 48000, 'AGM50S')
('OGeneral', 'Window', 'Non Inverter AC', '3 ton', 57000, 'AGM51S')
('OGeneral', 'Window', 'Non Inverter AC', '3 ton', 67000, 'AGM52S')
('OGeneral', 'Split', 'Inverter AC', '1 ton', 23000, 'AHL48P')
('OGeneral', 'Split', 'Inverter AC', '1 ton', 34000, 'AHL49P')
('OGeneral', 'Split', 'Inverter AC', '1 ton', 42000, 'AHL50P')
('OGeneral', 'Split', 'Inverter AC', '1 ton', 51000, 'AHL51P')
('OGeneral', 'Split', 'Inverter AC', '1 ton', 61000, 'AHL52P')
('OGeneral', 'Split', 'Inverter AC', '1.5 ton', 24000, 'AHL48Q')
('OGeneral', 'Split', 'Inverter AC', '1.5 ton', 33000, 'AHL49Q')
('OGeneral', 'Split', 'Inverter AC', '1.5 ton', 43000, 'AHL50Q')
('OGeneral', 'Split', 'Inverter AC', '1.5 ton', 52000, 'AHL51Q')
('OGeneral', 'Split', 'Inverter AC', '1.5 ton', 60000, 'AHL52Q')
('OGeneral', 'Split', 'Inverter AC', '2 ton', 26000, 'AHL48R')
('OGeneral', 'Split', 'Inverter AC', '2 ton', 35000, 'AHL49R')
('OGeneral', 'Split', 'Inverter AC', '2 ton', 46000, 'AHL50R')
('OGeneral', 'Split', 'Inverter AC', '2 ton', 51000, 'AHL51R')
('OGeneral', 'Split', 'Inverter AC', '2 ton', 62000, 'AHL52R')
('OGeneral', 'Split', 'Inverter AC', '3 ton', 27500, 'AHL48S')
('OGeneral', 'Split', 'Inverter AC', '3 ton', 32500, 'AHL49S')
('OGeneral', 'Split', 'Inverter AC', '3 ton', 43000, 'AHL50S')
('OGeneral', 'Split', 'Inverter AC', '3 ton', 53000, 'AHL51S')
('OGeneral', 'Split', 'Inverter AC', '3 ton', 64500, 'AHL52S')
('OGeneral', 'Split', 'Non Inverter AC', '1 ton', 2600, 'AHM48P')
('OGeneral', 'Split', 'Non Inverter AC', '1 ton', 34000, 'AHM49P')
('OGeneral', 'Split', 'Non Inverter AC', '1 ton', 42500, 'AHM50P')
('OGeneral', 'Split', 'Non Inverter AC', '1 ton', 54000, 'AHM51P')
('OGeneral', 'Split', 'Non Inverter AC', '1 ton', 63500, 'AHM52P')
('OGeneral', 'Split', 'Non Inverter AC', '1.5 ton', 28000, 'AHM48Q')
('OGeneral', 'Split', 'Non Inverter AC', '1.5 ton', 36000, 'AHM49Q')
('OGeneral', 'Split', 'Non Inverter AC', '1.5 ton', 46500, 'AHM50Q')
('OGeneral', 'Split', 'Non Inverter AC', '1.5 ton', 59000, 'AHM51Q')
('OGeneral', 'Split', 'Non Inverter AC', '1.5 ton', 68500, 'AHM52Q')
('OGeneral', 'Split', 'Non Inverter AC', '2 ton', 29000, 'AHM48R')
('OGeneral', 'Split', 'Non Inverter AC', '2 ton', 38000, 'AHM49R')
('OGeneral', 'Split', 'Non Inverter AC', '2 ton', 48000, 'AHM50R')
('OGeneral', 'Split', 'Non Inverter AC', '2 ton', 57500, 'AHM51R')
('OGeneral', 'Split', 'Non Inverter AC', '2 ton', 61000, 'AHM52R')
('OGeneral', 'Split', 'Non Inverter AC', '3 ton', 26500, 'AHM48S')
('OGeneral', 'Split', 'Non Inverter AC', '3 ton', 32000, 'AHM49S')
('OGeneral', 'Split', 'Non Inverter AC', '3 ton', 46000, 'AHM50S')
('OGeneral', 'Split', 'Non Inverter AC', '3 ton', 52500, 'AHM51S')
('OGeneral', 'Split', 'Non Inverter AC', '3 ton', 64000, 'AHM52S')
('OGeneral', 'Centralised', 'Inverter AC', '1 ton', 23000, 'AIL48P')
('OGeneral', 'Centralised', 'Inverter AC', '1 ton', 31000, 'AIL49P')
('OGeneral', 'Centralised', 'Inverter AC', '1 ton', 40500, 'AIL50P')
('OGeneral', 'Centralised', 'Inverter AC', '1 ton', 51500, 'AIL51P')
('OGeneral', 'Centralised', 'Inverter AC', '1 ton', 69000, 'AIL52P')
('OGeneral', 'Centralised', 'Inverter AC', '1.5 ton', 23500, 'AIL48Q')
('OGeneral', 'Centralised', 'Inverter AC', '1.5 ton', 33000, 'AIL49Q')
('OGeneral', 'Centralised', 'Inverter AC', '1.5 ton', 42000, 'AIL50Q')
('OGeneral', 'Centralised', 'Inverter AC', '1.5 ton', 55500, 'AIL51Q')
('OGeneral', 'Centralised', 'Inverter AC', '1.5 ton', 67500, 'AIL52Q')
('OGeneral', 'Centralised', 'Inverter AC', '2 ton', 29000, 'AIL48R')
('OGeneral', 'Centralised', 'Inverter AC', '2 ton', 36500, 'AIL49R')
('OGeneral', 'Centralised', 'Inverter AC', '2 ton', 44000, 'AIL50R')
('OGeneral', 'Centralised', 'Inverter AC', '2 ton', 56000, 'AIL51R')
('OGeneral', 'Centralised', 'Inverter AC', '2 ton', 65000, 'AIL52R')
('OGeneral', 'Centralised', 'Inverter AC', '3 ton', 29500, 'AIL48S')
('OGeneral', 'Centralised', 'Inverter AC', '3 ton', 38000, 'AIL49S')
('OGeneral', 'Centralised', 'Inverter AC', '3 ton', 45500, 'AIL50S')
('OGeneral', 'Centralised', 'Inverter AC', '3 ton', 54000, 'AIL51S')
('OGeneral', 'Centralised', 'Inverter AC', '3 ton', 63000, 'AIL52S')
('OGeneral', 'Centralised', 'Non Inverter AC', '1 ton', 25000, 'AIM48P')
('OGeneral', 'Centralised', 'Non Inverter AC', '1 ton', 33500, 'AIM49P')
('OGeneral', 'Centralised', 'Non Inverter AC', '1 ton', 47500, 'AIM50P')
('OGeneral', 'Centralised', 'Non Inverter AC', '1 ton', 57000, 'AIM51P')
('OGeneral', 'Centralised', 'Non Inverter AC', '1 ton', 61000, 'AIM52P')
('OGeneral', 'Centralised', 'Non Inverter AC', '1.5 ton', 22000, 'AIM48Q')
('OGeneral', 'Centralised', 'Non Inverter AC', '1.5 ton', 33500, 'AIM49Q')
('OGeneral', 'Centralised', 'Non Inverter AC', '1.5 ton', 46000, 'AIM50Q')
('OGeneral', 'Centralised', 'Non Inverter AC', '1.5 ton', 56500, 'AIM51Q')
('OGeneral', 'Centralised', 'Non Inverter AC', '1.5 ton', 65000, 'AIM52Q')
('OGeneral', 'Centralised', 'Non Inverter AC', '2 ton', 23000, 'AIM48R')
('OGeneral', 'Centralised', 'Non Inverter AC', '2 ton', 34500, 'AIM49R')
('OGeneral', 'Centralised', 'Non Inverter AC', '2 ton', 42500, 'AIM50R')
('OGeneral', 'Centralised', 'Non Inverter AC', '2 ton', 56000, 'AIM51R')
